sku,precio_reales
1061.0,"2.329,00"
7029.0,"2.469,00"
7015.0,"2.469,00"
9274.0,"749,00"
2719.0,"2.469,00"
9834.0,"1.939,00"
1059.0,"1.939,00"
11470.0,"2.469,00"
1333.0,"1.629,00"
1317.0,"1.309,00"
8567.0,"1.939,00"
3066.0,"2.329,00"
3325.0,"1.939,00"
298.0,"939,00"
3323.0,"2.469,00"
2696.0,"2.469,00"
9582.0,"1.939,00"
10224.0,"2.469,00"
10226.0,"2.869,00"
178.0,"2.329,00"
7168.0,"2.329,00"
192.0,"2.329,00"
10912.0,"969,00"
6832.0,"2.329,00"
10336.0,"2.469,00"
2777.0,"2.469,00"
10924.0,"679,00"
6846.0,"1.549,00"
12618.0,"2.469,00"
11806.0,"2.469,00"
9119.0,"2.329,00"
8189.0,"1.139,00"
8121.0,"2.469,00"
10826.0,"2.469,00"
4920.0,"2.329,00"
7715.0,"2.469,00"
325.0,"2.329,00"
7617.0,"2.469,00"
4967.0,"2.469,00"
12508.0,"739,00"
1326.0,"2.329,00"
13250.0,"2.599,00"
10827.0,"529,00"
6399.0,"2.469,00"
6930.0,"2.329,00"
10897.0,"869,00"
10883.0,"869,00"
10911.0,"869,00"
10884.0,"969,00"
8569.0,"2.469,00"
7181.0,"1.939,00"
6917.0,"2.469,00"
7167.0,"1.939,00"
8162.0,"1.209,00"
10421.0,"2.329,00"
13248.0,"2.469,00"
10828.0,"559,00"
15790.0,"1.939,00"
10896.0,"819,00"
6398.0,"529,00"
6412.0,"529,00"
6874.0,"1.549,00"
8106.0,"2.329,00"
9580.0,"2.469,00"
10014.0,"2.229,00"
6370.0,"529,00"
12661.0,"909,00"
2820.0,"2.469,00"
8190.0,"1.069,00"
6705.0,"1.939,00"
6250.0,0
10813.0,"529,00"
10814.0,"559,00"
4873.0,"1.939,00"
6567.0,"2.469,00"
10898.0,"969,00"
4871.0,"2.469,00"
4919.0,"2.469,00"
4885.0,"1.939,00"
8358.0,"2.329,00"
10953.0,"2.329,00"
15759.0,"2.329,00"
10310.0,"3.719,00"
10294.0,"2.469,00"
9301.0,"2.329,00"
3241.0,"1.939,00"
2702.0,"569,00"
10084.0,"2.469,00"
6384.0,"2.329,00"
6973.0,"1.769,00"
9302.0,"1.939,00"
15775.0,"1.939,00"
10420.0,"2.469,00"
8163.0,"1.099,00"
4921.0,"1.939,00"
8107.0,"2.469,00"
7197.0,"2.469,00"
10198.0,"1.939,00"
5920.0,0
9273.0,"699,00"
423.0,"599,00"
122.0,"479,00"
13110.0,"1.779,00"
10338.0,"2.869,00"
9400.0,"1.939,00"
13418.0,"3.399,00"
13432.0,"3.399,00"
9454.0,"2.469,00"
10324.0,"2.399,00"
9974.0,"2.399,00"
6889.0,"2.469,00"
7028.0,"2.329,00"
9344.0,"1.939,00"
2939.0,"2.469,00"
15368.0,"2.469,00"
15370.0,"1.939,00"
284.0,"709,00"
9399.0,"2.329,00"
5423.0,"1.939,00"
7043.0,"2.469,00"
2796.0,"2.469,00"
975.0,"1.939,00"
10337.0,"2.329,00"
12282.0,"2.469,00"
10253.0,"2.329,00"
10211.0,"2.329,00"
7141.0,"2.469,00"
9931.0,"2.329,00"
6385.0,"2.469,00"
11946.0,"2.469,00"
7111.0,"1.939,00"
7126.0,"2.329,00"
8204.0,"1.549,00"
6301.0,"2.469,00"
10448.0,"2.469,00"
3120.0,"2.329,00"
2710.0,"2.469,00"
179.0,"1.939,00"
2751.0,"2.469,00"
11947.0,"2.329,00"
3131.0,"2.469,00"
4884.0,"2.329,00"
1325.0,"1.629,00"
1341.0,"1.629,00"
9022.0,"1.939,00"
2774.0,"2.469,00"
2812.0,"2.469,00"
7322.0,"2.329,00"
1365.0,"1.939,00"
8609.0,"1.939,00"
326.0,"1.629,00"
10854.0,"2.469,00"
9973.0,"2.329,00"
7253.0,"2.469,00"
8978.0,"2.469,00"
6595.0,"2.469,00"
13096.0,"2.399,00"
15730.0,"1.939,00"
5207.0,"2.469,00"
